epoch,learning_rate,loss,mae,mape,val_loss,val_mae,val_mape
0,0.0010000000474974513,0.15430819988250732,0.21039585769176483,10729.7861328125,0.1234682947397232,0.19882811605930328,20.215307235717773
1,0.0010000000474974513,0.09913363307714462,0.14247363805770874,95421.78125,0.08419934660196304,0.14281736314296722,14.417622566223145
2,0.0010000000474974513,0.07281254976987839,0.1281866878271103,87565.8046875,0.05871784687042236,0.10730445384979248,11.35382080078125
3,0.0010000000474974513,0.0551639124751091,0.11211440712213516,116543.1328125,0.05359209328889847,0.14457572996616364,14.703963279724121
4,0.0010000000474974513,0.04448408633470535,0.11003321409225464,81125.8515625,0.04102955386042595,0.12058714032173157,12.282036781311035
5,0.0010000000474974513,0.036308642476797104,0.10210113972425461,77794.71875,0.0419866107404232,0.15229666233062744,15.339958190917969
6,0.0010000000474974513,0.03017629124224186,0.09640567749738693,105680.6015625,0.03505982458591461,0.14320124685764313,14.611649513244629
7,0.0010000000474974513,0.02612788788974285,0.09513448923826218,94005.4453125,0.033573370426893234,0.15472936630249023,15.930051803588867
8,0.0010000000474974513,0.023118963465094566,0.0946093425154686,96580.3359375,0.029147621244192123,0.14085423946380615,14.308089256286621
9,0.0010000000474974513,0.020613228902220726,0.09095893800258636,93355.2421875,0.02383391000330448,0.12514658272266388,12.856847763061523
10,0.0010000000474974513,0.018169481307268143,0.08884063363075256,83440.3046875,0.027267444878816605,0.15123926103115082,15.396608352661133
11,0.0010000000474974513,0.016749434173107147,0.0869445875287056,104366.1015625,0.02112353965640068,0.12523937225341797,12.760851860046387
12,0.0010000000474974513,0.014687255956232548,0.08265861123800278,114713.34375,0.018114184960722923,0.11507672071456909,11.807087898254395
13,0.0010000000474974513,0.013527926057577133,0.08239466696977615,74965.0234375,0.015971524640917778,0.10898961871862411,11.437932014465332
14,0.0010000000474974513,0.012528126128017902,0.0806504637002945,117277.7265625,0.02201680839061737,0.15085925161838531,15.585925102233887
15,0.0010000000474974513,0.011579008772969246,0.08008554577827454,137898.6875,0.015275686979293823,0.11393304169178009,11.744186401367188
16,0.0010000000474974513,0.010725478641688824,0.07827339321374893,113329.0546875,0.013557495549321175,0.11017202585935593,11.806791305541992
17,0.0010000000474974513,0.009914788417518139,0.07678435742855072,88001.4765625,0.013535836711525917,0.11159377545118332,11.610212326049805
18,0.0010000000474974513,0.00872280914336443,0.07094532251358032,73383.4140625,0.011720062233507633,0.10268542170524597,10.73781681060791
19,0.0010000000474974513,0.008465980179607868,0.0733417347073555,93085.984375,0.014921898022294044,0.12041407823562622,12.236106872558594
20,0.0010000000474974513,0.007713439874351025,0.07113347947597504,129100.8515625,0.01287747174501419,0.11080746352672577,11.33510971069336
21,0.0010000000474974513,0.007272711023688316,0.06934147328138351,82052.4296875,0.010605406947433949,0.10033325850963593,10.468382835388184
22,0.0010000000474974513,0.006743086036294699,0.06774034351110458,110258.1328125,0.015345824882388115,0.13242244720458984,13.593754768371582
23,0.0010000000474974513,0.006041732616722584,0.0649549812078476,70358.640625,0.01025549229234457,0.09988457709550858,10.355616569519043
24,0.0010000000474974513,0.005682026036083698,0.06374124437570572,162884.71875,0.013446396216750145,0.12161610275506973,12.370807647705078
25,0.0010000000474974513,0.005603202152997255,0.06478016823530197,70936.7734375,0.01086847297847271,0.11020103842020035,11.387174606323242
26,0.0010000000474974513,0.005296480376273394,0.06406248360872269,149509.296875,0.010799593292176723,0.107579804956913,11.036627769470215
27,0.0010000000474974513,0.004482046235352755,0.056429870426654816,135394.65625,0.011704857461154461,0.1175602450966835,12.12582015991211
28,0.0010000000474974513,0.0044570062309503555,0.058172695338726044,155474.390625,0.010238118469715118,0.10654722899198532,10.87313175201416
29,0.0010000000474974513,0.004165727645158768,0.05665651708841324,148686.4375,0.01126845646649599,0.1152443215250969,11.765589714050293
30,0.0010000000474974513,0.0040353829972445965,0.056664202362298965,8198.5234375,0.008374406956136227,0.10093633830547333,10.762052536010742
31,0.0010000000474974513,0.0039343079552054405,0.05567743256688118,46343.05078125,0.008695835247635841,0.09977144002914429,10.360483169555664
32,0.0010000000474974513,0.0036446512676775455,0.05432722344994545,164523.359375,0.008411670103669167,0.10053405165672302,10.534905433654785
33,0.0010000000474974513,0.003635945962741971,0.054901719093322754,143212.125,0.007541688159108162,0.09424541890621185,9.92459487915039
34,0.0010000000474974513,0.0035034799948334694,0.05492608621716499,73237.3984375,0.009801923297345638,0.11201842129230499,11.810281753540039
35,0.0010000000474974513,0.0031742630526423454,0.052386775612831116,17572.720703125,0.009922212921082973,0.1105322539806366,11.424643516540527
36,0.0010000000474974513,0.00337408808991313,0.05461221560835838,56243.921875,0.009162740781903267,0.10676830261945724,11.22091007232666
37,0.0010000000474974513,0.002965396735817194,0.05164550244808197,112239.734375,0.012625636532902718,0.12499769032001495,12.7569580078125
38,0.0010000000474974513,0.002929236274212599,0.0516149066388607,127277.484375,0.009044458158314228,0.10994365811347961,11.626642227172852
39,0.0010000000474974513,0.0030733738094568253,0.05268058180809021,132623.0,0.011147266253829002,0.11608373373746872,11.975478172302246
40,0.0010000000474974513,0.0028604362159967422,0.05111847072839737,1695.926513671875,0.009824426844716072,0.11127209663391113,11.429214477539062
41,0.0010000000474974513,0.00281918840482831,0.05064001679420471,117715.09375,0.011012762784957886,0.1175660640001297,12.111795425415039
42,0.0010000000474974513,0.0027086606714874506,0.05057299882173538,242168.671875,0.010303563438355923,0.11521489173173904,11.986552238464355
43,0.0010000000474974513,0.002486170968040824,0.047255367040634155,137696.9375,0.009728723205626011,0.11166661232709885,11.547025680541992
44,0.0005000000237487257,0.0022708140313625336,0.046249307692050934,25712.546875,0.008088654838502407,0.10036683082580566,10.4164457321167
45,0.0005000000237487257,0.0026169579941779375,0.04877970740199089,27535.8046875,0.009646992199122906,0.11193633079528809,11.560599327087402
46,0.0005000000237487257,0.002442782511934638,0.048262473195791245,215321.953125,0.009833229705691338,0.1119946837425232,11.580521583557129
47,0.0005000000237487257,0.0024821122642606497,0.048586610704660416,61280.8515625,0.009745593182742596,0.11232564598321915,11.574601173400879
48,0.0005000000237487257,0.0024577132426202297,0.04746686667203903,142287.109375,0.00885703507810831,0.10736104846000671,11.127957344055176
49,0.0005000000237487257,0.002344335662201047,0.04625679552555084,113866.9921875,0.008752620778977871,0.10955585539340973,11.561250686645508
50,0.0005000000237487257,0.002224796684458852,0.04529815912246704,14866.9521484375,0.011318575590848923,0.12125486135482788,12.619928359985352
51,0.0005000000237487257,0.002296061720699072,0.04661386087536812,124354.1015625,0.010935045778751373,0.11878316104412079,12.304731369018555
52,0.0005000000237487257,0.0023711093235760927,0.04706479609012604,123338.9765625,0.009879160672426224,0.11737697571516037,12.370499610900879
53,0.0005000000237487257,0.00226017227396369,0.04562133178114891,173546.53125,0.009561233222484589,0.11499204486608505,12.036012649536133
