epoch,learning_rate,loss,mae,mape,val_loss,val_mae,val_mape
0,0.0010000000474974513,0.14133857190608978,0.16789300739765167,153095.828125,0.19744773209095,0.43591615557670593,35.3229866027832
1,0.0010000000474974513,0.0944155901670456,0.11369363218545914,32037.970703125,0.15063995122909546,0.38705024123191833,31.239641189575195
2,0.0010000000474974513,0.0679207444190979,0.0962129458785057,60307.87890625,0.1126180961728096,0.3333720862865448,26.789134979248047
3,0.0010000000474974513,0.051292188465595245,0.08924849331378937,32594.51953125,0.12444539368152618,0.39849749207496643,32.174949645996094
4,0.0010000000474974513,0.0395733118057251,0.08305399119853973,85571.7890625,0.11397647857666016,0.39846566319465637,32.23652267456055
5,0.0010000000474974513,0.031805120408535004,0.08429457992315292,68702.15625,0.092731773853302,0.358969122171402,28.95785140991211
6,0.0010000000474974513,0.02504810318350792,0.07627279311418533,71363.1328125,0.0981813594698906,0.38343364000320435,30.894147872924805
7,0.0010000000474974513,0.021175751462578773,0.07683319598436356,58150.03515625,0.08576531708240509,0.361040323972702,29.07097816467285
8,0.0010000000474974513,0.01758403144776821,0.07517509162425995,58965.515625,0.0811346247792244,0.3560789227485657,28.706594467163086
9,0.0010000000474974513,0.014858268201351166,0.069672130048275,60097.13671875,0.09083440154790878,0.386581152677536,31.181859970092773
10,0.0010000000474974513,0.013344282284379005,0.07243552803993225,74546.234375,0.07970566302537918,0.36113131046295166,29.076753616333008
11,0.0010000000474974513,0.012231158092617989,0.07286488264799118,43838.98828125,0.10415344685316086,0.42838263511657715,34.731475830078125
12,0.0010000000474974513,0.01029849611222744,0.0683518797159195,37857.56640625,0.06968729943037033,0.3374045789241791,27.067121505737305
13,0.0010000000474974513,0.0093332938849926,0.06687231361865997,94980.3359375,0.06891109049320221,0.33673977851867676,27.021194458007812
14,0.0010000000474974513,0.008496200665831566,0.06723514199256897,58528.6484375,0.05867798998951912,0.3095731735229492,24.789447784423828
15,0.0010000000474974513,0.007338786963373423,0.06279339641332626,48882.25,0.06299378722906113,0.32479989528656006,26.083507537841797
16,0.0010000000474974513,0.006973782554268837,0.06385429948568344,81584.171875,0.056213025003671646,0.30231428146362305,24.13971710205078
17,0.0010000000474974513,0.0065496526658535,0.06382816284894943,54812.00390625,0.08615356683731079,0.3871249556541443,31.16149139404297
18,0.0010000000474974513,0.005817466881126165,0.05980025604367256,35534.4609375,0.09401591867208481,0.4143604338169098,33.5934944152832
19,0.0010000000474974513,0.0056876568123698235,0.06188880652189255,30269.947265625,0.06294967234134674,0.3269783854484558,26.209487915039062
20,0.0010000000474974513,0.005271557252854109,0.05934416130185127,109338.25,0.06633571535348892,0.3387303650379181,27.18470573425293
21,0.0010000000474974513,0.00471362192183733,0.05733243748545647,3509.8828125,0.08362692594528198,0.39061248302459717,31.649133682250977
22,0.0010000000474974513,0.0045502628199756145,0.05801374465227127,63719.45703125,0.06259363889694214,0.33093300461769104,26.610336303710938
23,0.0010000000474974513,0.004240204580128193,0.056029513478279114,175037.109375,0.061766017228364944,0.3268378674983978,26.242753982543945
24,0.0010000000474974513,0.00402744160965085,0.055488020181655884,128448.5703125,0.059953585267066956,0.32593676447868347,26.247100830078125
25,0.0010000000474974513,0.0036758589558303356,0.05325193330645561,54431.33984375,0.06024489551782608,0.3230760395526886,25.89504623413086
26,0.0010000000474974513,0.003969593904912472,0.056598007678985596,82055.9296875,0.05776658654212952,0.3167561888694763,25.395381927490234
27,0.0005000000237487257,0.0034841413144022226,0.05367638170719147,16946.13671875,0.07237737625837326,0.359053373336792,28.90847396850586
28,0.0005000000237487257,0.0032109811436384916,0.050208449363708496,2888.783935546875,0.0746186375617981,0.3654452860355377,29.441696166992188
29,0.0005000000237487257,0.003323106560856104,0.051481943577528,104666.671875,0.061280760914087296,0.3269704580307007,26.23603057861328
30,0.0005000000237487257,0.00317619601264596,0.051151614636182785,104426.375,0.06826716661453247,0.34516608715057373,27.682849884033203
31,0.0005000000237487257,0.0030988415237516165,0.05135546997189522,83658.46875,0.06714709848165512,0.341469407081604,27.367395401000977
32,0.0005000000237487257,0.0030708410777151585,0.050408922135829926,106500.953125,0.06744644790887833,0.3445819020271301,27.689191818237305
33,0.0005000000237487257,0.003029705723747611,0.05113985016942024,26271.16796875,0.07482968270778656,0.368149071931839,29.70353126525879
34,0.0005000000237487257,0.0032056139316409826,0.05223691835999489,5145.5595703125,0.058271732181310654,0.3179183006286621,25.473003387451172
35,0.0005000000237487257,0.003203373169526458,0.053698889911174774,14773.310546875,0.06064463406801224,0.32648634910583496,26.204381942749023
36,0.0005000000237487257,0.002945719752460718,0.05105539783835411,101540.3046875,0.07403586804866791,0.36281657218933105,29.170536041259766
