bank,title,description,content,url,source,author,publishedAt,urlToImage
Bank of Baroda,"BoB, Bank of India cut repo-linked interest rate after RBI’s policy rate cut, others to follow suit","With cheaper funding, banks can lower lending rates such as MCLR and base rates, making home, auto, and business loans more affordable","Hours after the RBI slashed key policy rate, state-owned lenders, Bank of Baroda (BoB) and Bank of India, on Friday announced an interest rate cut on loans linked to repo rate by 25 basis points, a m… [+1878 chars]",https://www.thehindubusinessline.com/money-and-banking/bob-bank-of-india-cut-repo-linked-interest-rate-after-rbis-policy-rate-cut-others-to-follow-suit/article70364680.ece,BusinessLine,PTI,2025-12-06 05:26:06+00:00,https://bl-i.thgim.com/public/incoming/2vhoo1/article70364743.ece/alternates/LANDSCAPE_1200/IMG_FILE_PHOTO__A_woman__2_1_19DB38RB.jpg
Bank of Baroda,"Bank Of Baroda Cut Repo-Linked Interest Rate, Others To Follow Suit","Hours after the RBI slashed key policy rate, state-owned Bank of Baroda on Friday announced an interest rate cut on loans linked to repo rate by 25 basis points, a development to be followed by other lenders.","Hours after the RBI slashed key policy rate, state-owned Bank of Baroda on Friday announced an interest rate cut on loans linked to repo rate by 25 basis points, a development to be followed by other… [+1632 chars]",https://www.ndtvprofit.com/economy-finance/biz-rbi-banks-rate-4,Ndtvprofit.com,PTI,2025-12-05 14:58:54+00:00,https://media.assettype.com/bloombergquint%2F2025-12-05%2Fsdcfnvad%2FWhatsApp-Image-2025-12-05-at-6.32.10-PM.jpeg?w=1200&auto=format%2Ccompress&ogImage=true
