,HDFC Bank,ICICI Bank,Kotak Mahindra Bank,Axis Bank,State Bank of India,Punjab National Bank,Bank of Baroda,Canara Bank
HDFC Bank,1.0,0.9295518597135838,0.8742852035919477,0.84280182197792,0.8878997868368662,0.555912039415745,0.7820221526783085,0.7606730884375088
ICICI Bank,0.9295518597135838,1.0,0.7529548252284092,0.9090234579218199,0.975652912475369,0.7182900182696976,0.9105025188396276,0.8935039983930476
Kotak Mahindra Bank,0.8742852035919477,0.7529548252284092,1.0,0.6443943845927395,0.694822328911962,0.2851142768569886,0.5299107428331123,0.5093249461526976
Axis Bank,0.84280182197792,0.9090234579218199,0.6443943845927395,1.0,0.9425462427465569,0.846559595994955,0.9536010287024165,0.9337653202310313
State Bank of India,0.8878997868368662,0.975652912475369,0.694822328911962,0.9425462427465569,1.0,0.7859829882261471,0.9478521153465362,0.9389566644539982
Punjab National Bank,0.555912039415745,0.7182900182696976,0.2851142768569886,0.846559595994955,0.7859829882261471,1.0,0.8946118091657274,0.9349242667011949
Bank of Baroda,0.7820221526783085,0.9105025188396276,0.5299107428331123,0.9536010287024165,0.9478521153465362,0.8946118091657274,1.0,0.9787690732080538
Canara Bank,0.7606730884375088,0.8935039983930476,0.5093249461526976,0.9337653202310313,0.9389566644539982,0.9349242667011949,0.9787690732080538,1.0
