Sector,Bank,Messages,Bullish,Bearish,Neutral,Bullish %,Avg Sentiment,Sentiment Score
Private Banks,HDFC Bank,0,0,0,0,0,0,0
Private Banks,ICICI Bank,0,0,0,0,0,0,0
Private Banks,Kotak Mahindra Bank,0,0,0,0,0,0,0
Private Banks,Axis Bank,0,0,0,0,0,0,0
PSU Banks,State Bank of India,0,0,0,0,0,0,0
PSU Banks,Punjab National Bank,0,0,0,0,0,0,0
PSU Banks,Bank of Baroda,0,0,0,0,0,0,0
PSU Banks,Canara Bank,0,0,0,0,0,0,0
