date,avg_sentiment,std_sentiment,min_sentiment,max_sentiment,article_count,sentiment_distribution,bank
2025-12-05,0.2263,,0.2263,0.2263,1,{'positive': 1},Bank of Baroda
2025-12-06,-0.34,,-0.34,-0.34,1,{'negative': 1},Bank of Baroda
