date,avg_sentiment,std_sentiment,min_sentiment,max_sentiment,article_count,sentiment_distribution,bank
2025-12-01,0.0,,0.0,0.0,1,{'neutral': 1},State Bank of India
2025-12-02,0.7717,,0.7717,0.7717,1,{'positive': 1},State Bank of India
2025-12-03,0.33725000000000005,0.6433437468932659,-0.4767,0.926,4,"{'positive': 3, 'negative': 1}",State Bank of India
2025-12-04,0.38560000000000005,0.546027856432252,-0.0005,0.7717,2,"{'neutral': 1, 'positive': 1}",State Bank of India
2025-12-05,0.8134,0.12134821795148042,0.7184,0.9501,3,{'positive': 3},State Bank of India
2025-12-07,0.8553,,0.8553,0.8553,1,{'positive': 1},State Bank of India
2025-12-08,0.0,,0.0,0.0,1,{'neutral': 1},State Bank of India
