Date,usd_inr_rate,usd_inr_change_1d,usd_inr_change_5d,usd_inr_change_20d,usd_inr_momentum,usd_inr_volatility,inr_weakness_score
2019-01-01,69.70999908447266,,,,,,
2019-01-02,69.70999908447266,0.0,,,,,
2019-01-03,69.95999908447266,0.003586286089274804,,,,,
2019-01-04,70.30000305175781,0.004859976725766213,,,,,
2019-01-07,69.5250015258789,-0.011024203303495184,,,,,
2019-01-08,69.80999755859375,0.0040991877232647855,0.0014344925467566494,,0.00030424944696212376,,0.0021612976874215463
2019-01-09,70.33000183105469,0.007448851033470927,0.008894028901517137,,0.0017940196536563092,,0.006185954979940405
2019-01-10,70.55049896240234,0.003135178808573391,0.00844053581556925,,0.0017037981975160266,,0.00429737172735494
2019-01-11,70.72000122070312,0.002402566399865025,0.005974369142432323,,0.001212316132335789,,0.0031170321423764436
2019-01-14,70.37000274658203,-0.004949073360856149,0.012153918765303473,,0.002427342120863596,,0.002394748921507661
2019-01-15,71.08499908447266,0.010160527355178361,0.01826388154230707,,0.003639610047246311,,0.010635258418937359
2019-01-16,71.09249877929688,0.00010550319927982166,0.010841702380071538,,0.00217094048040809,,0.003945994137855817
2019-01-17,71.36499786376953,0.0038330216148205754,0.011544906320240855,,0.002310509041657527,,0.005689833254497745
2019-01-18,71.03019714355469,-0.0046913855564594265,0.004386254489497254,,0.0008917186503926367,,-0.0002931622806168035
2019-01-21,71.2300033569336,0.0028129756274657414,0.012221125149712186,,0.0024441284480570145,,0.005524766330317056
2019-01-22,71.5,0.0037904903880665586,0.005838094124952953,,0.001170121054634654,,0.003618660709102906
2019-01-23,71.2302017211914,-0.0037734025008194783,0.0019369545909762031,,0.0003943399146147941,,-0.0008099726486504924
2019-01-24,71.15730285644531,-0.0010234263414194977,-0.002910320374712172,,-0.0005769496766332205,,-0.001455551551971417
2019-01-25,70.98999786376953,-0.002351199187710984,-0.0005659463355269789,,-0.00010891240288353199,,-0.001142937296607547
2019-01-28,70.9749984741211,-0.0002112887744724068,-0.003580020648527471,,-0.0007137652832711616,,-0.0013726512893285523
2019-01-29,71.09010314941406,0.0016217636881661335,-0.005732823085118022,0.019797792039403683,-0.0011475106232512466,0.0047928104670273445,-0.0014153946372443271
2019-01-30,71.62000274658203,0.007453915154044033,0.005472412206782407,0.027399278255546777,0.0010979529077214556,0.004997102079723591,0.004952675595968772
2019-01-31,71.12000274658203,-0.006981289874690266,-0.0005241922946198629,0.01658095593610187,-9.361979893269811e-05,0.005299343552229969,-0.002977859577941875
2019-02-01,71.19999694824219,0.0011247778201752823,0.002958150314015251,0.012802188583430851,0.0006015756026445552,0.005215214222026002,0.001517828903068055
2019-02-04,71.45169830322266,0.0035351315416971563,0.006716447190560748,0.027712286732228142,0.0013508596658784676,0.004461726214942279,0.0038342446736106275
2019-02-05,71.68499755859375,0.0032651324028860618,0.008368174792620087,0.026858617183394884,0.0016795334088224533,0.0044387836567763754,0.004320365421587187
2019-02-06,71.7699966430664,0.0011857304508267053,0.0020943017415833154,0.0204748297244588,0.00042589646817898786,0.004199251011243343,0.001230351643259373
2019-02-07,71.54049682617188,-0.003197712520956353,0.005912458708531965,0.014032471468375052,0.0011826119389257705,0.004269717252220692,0.0008494361858547791
2019-02-08,71.58000183105469,0.0005522047879931158,0.005337147459272273,0.012160641904793934,0.0010680973324893373,0.004251018492561547,0.0021424553527257294
2019-02-11,71.1500015258789,-0.006007268708803304,-0.004222387773953673,0.011084251085023089,-0.0008403827176107548,0.004329747583671169,-0.0039217386309906505
2019-02-12,71.2300033569336,0.0011244108129160324,-0.006347132833313562,0.0020398716231060376,-0.0012685270356047607,0.003701046994592716,-0.001834933635509084
2019-02-13,70.80999755859375,-0.005896473094844534,-0.013376050290862085,-0.003973713479675789,-0.0026849677447390087,0.003937101426576559,-0.0071768946486181415
2019-02-14,70.86509704589844,0.0007781314673693807,-0.009440803604069403,-0.007004845972606422,-0.0018897989470738619,0.0038305571220296417,-0.003087928178395227
2019-02-15,71.01000213623047,0.002044801974068866,-0.007963113722315174,-0.00028431579998866585,-0.0015912795098587118,0.0037228590315836513,-0.0020483971800246193
2019-02-18,71.31999969482422,0.004365547799858316,0.0023892925551587396,0.0012634610929280754,0.00048328379187361213,0.0038001540908101736,0.0026079920240530317
2019-02-19,71.69999694824219,0.005328060222153264,0.006598253111872676,0.002797160115275421,0.0013240136737210583,0.003893781798411508,0.004507904124539426
2019-02-20,71.5999984741211,-0.0013946789173963081,0.011156629611145386,0.005191572450926607,0.0022243725092107036,0.0038030049232118126,0.0034564290691483034
2019-02-21,71.30000305175781,-0.004189880289895642,0.006137097442732609,0.00200541883382499,0.001230770157757699,0.003923504267105817,0.0005344081641888352
2019-02-22,71.18499755859375,-0.001612980199742431,0.0024643770891255024,0.002746861539542955,0.0004992137229954396,0.0039025730009822185,0.00024388516373931012
2019-02-25,71.03099822998047,-0.0021633677585859434,-0.004052179838479719,0.0007890067920155452,-0.0008065693886934122,0.003936203075728921,-0.0023229718715863166
2019-02-26,71.08999633789062,0.0008305966321793257,-0.00850767972545241,-1.5024809179031706e-06,-0.0017060621066881999,0.003923496857792224,-0.002731883896770453
2019-02-27,70.94000244140625,-0.0021099156591801727,-0.009217821882403943,-0.009494558490619864,-0.0018491094550449727,0.0035313539125920103,-0.004164045664906744
2019-02-28,71.19000244140625,0.003524104756078783,-0.0015427854928942164,0.0009842476394952282,-0.00030631244585008763,0.0032847058929147076,0.0008549125208082222
