ticker,num_features,num_sequences,train_size,val_size,test_size
HDFCBANK,196,1527,1068,229,230
ICICIBANK,196,1527,1068,229,230
KOTAKBANK,196,1527,1068,229,230
AXISBANK,196,1527,1068,229,230
SBIN,196,1527,1068,229,230
PNB,196,1527,1068,229,230
BANKBARODA,196,1527,1068,229,230
CANBK,196,1527,1068,229,230
