Price,Close,High,Low,Open,Volume,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Diff,ADX,RSI_14,Stoch_K,Stoch_D,ROC_12,Williams_R,BB_High,BB_Mid,BB_Low,BB_Width,BB_Percent,ATR_14,StdDev_20,OBV,Volume_SMA_20,VWAP,Returns,Log_Returns,Volatility_20,Price_Change,HL_Range,Avg_Price
Date,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,
2019-01-01,49.22236633300781,49.55459638691854,47.96339402601994,48.34807917492547,27095355.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,27095355.0,,48.91345224864877,,,,,1.591202360898599,48.91345224864876
2019-01-02,48.15574264526367,49.607059326195305,47.84099870612216,48.99505759288027,28222815.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,-1127460.0,,48.7201654759386,-0.021669492289908,-0.021907723593148888,,-1.0666236877441406,1.766060620073148,48.53460022586038
2019-01-03,48.313114166259766,48.6803165622445,47.7972845318788,48.243172917350165,19967195.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,18839735.0,,48.59906762521442,0.003267969973079987,0.0032626417643358396,,0.15737152099609375,0.8830320303656976,48.26357175346103
2019-01-04,49.47591400146485,49.92179901699818,47.9459113637355,48.61036818465874,30690280.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,49530015.0,,48.74834755028338,0.02406799593177844,0.023782926689909813,,1.1627998352050852,1.9758876532626815,49.114541460732845
2019-01-07,48.65408706665039,50.08791763098744,48.40928436739541,49.78191509070401,17759875.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,31770140.0,,48.79170568230316,-0.016610646845051313,-0.016750150628953443,,-0.8218269348144602,1.6786332635920331,49.050429688344416
2019-01-08,50.34146499633789,50.70866406629491,48.44425979613574,48.59289037336221,27864940.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,59635080.0,,48.982818387108814,0.034681113785487216,0.03409327662125031,,1.6873779296875,2.2644042701591687,49.83146295292284
2019-01-09,49.04751205444336,50.68243156869494,48.33934153573072,50.53380100597157,32093545.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,27541535.0,,49.048092533214785,-0.025703521778491334,-0.02603962923303014,,-1.2939529418945312,2.34309003296422,49.35642838628967
2019-01-10,49.1436882019043,49.5108906012015,48.66283085521106,49.09123309853424,16797210.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,44338745.0,,49.05292755062815,0.001960877186883314,0.001958957176738644,,0.0961761474609375,0.8480597459904402,49.10580321943896
2019-01-11,48.65408706665039,49.36225760859131,48.34808452636696,49.292316362476456,15197735.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,29141010.0,,49.03427047797232,-0.009962645319626873,-0.010012604564958566,,-0.48960113525390625,1.014173082224346,48.78814306720289
2019-01-14,48.61037063598633,49.21363098377402,48.11202716137812,48.65408766738173,18157035.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,10983975.0,,49.004072092677696,-0.0008985150744720283,-0.0008989189811038111,,-0.0437164306640625,1.1016038223958944,48.64534292704616
