Price,Close,High,Low,Open,Volume,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Diff,ADX,RSI_14,Stoch_K,Stoch_D,ROC_12,Williams_R,BB_High,BB_Mid,BB_Low,BB_Width,BB_Percent,ATR_14,StdDev_20,OBV,Volume_SMA_20,VWAP,Returns,Log_Returns,Volatility_20,Price_Change,HL_Range,Avg_Price
Date,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,
2019-01-01,109.3073959350586,109.92795426174996,104.78616014730125,105.89430484752047,23311973.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,23311973.0,,108.00717011470327,,,,,5.1417941144487145,108.00717011470327
2019-01-02,105.80565643310548,110.32688553458068,104.78616193875848,109.48469825344716,25568039.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,-2256066.0,,107.46616727419884,-0.03203570510483622,-0.032560077824724955,,-3.501739501953111,5.5407235958222,106.97290130214822
2019-01-03,105.7613296508789,109.39604280341334,104.69750671314657,107.62301133743767,40246215.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,-42502281.0,,107.08329761579719,-0.0004189452976419705,-0.00041903307974129996,,-0.04432678222657671,4.698536090266771,106.61829305581294
2019-01-04,107.8889617919922,108.50952686203888,105.05211415731048,106.73649539946824,22277306.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,-20224975.0,,107.09667623783234,0.02011729758066272,0.019917618312560066,,2.1276321411132955,3.457412704728398,107.15020093711387
2019-01-07,108.77547454833984,109.70631874616276,107.8003086233118,108.59817411236314,14244449.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,-5980526.0,,107.28532320488873,0.008216899501330088,0.008183324578411375,,0.886512756347642,1.906010122850958,108.76070063927148
2019-01-08,109.79497528076172,110.06093271360564,107.88896504825615,108.9527880160534,11438177.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,5457651.0,,107.44910905615248,0.009372523876867156,0.009328874300790222,,1.019500732421875,2.1719676653494844,109.24829101420784
2019-01-09,108.99710845947266,110.45986079569458,107.62301310887142,110.0166029219048,12747179.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,-7289528.0,,107.58332040441587,-0.007266879192320053,-0.007293411575475856,,-0.7978668212890625,2.8368476868231625,109.02666078801288
2019-01-10,109.44037628173828,110.06094141960232,108.02195230938749,108.59818895041158,8763655.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,1474127.0,,107.67124059070755,0.004066785151740415,0.004058538132680521,,0.443267822265625,2.0389891102148283,109.17442333690936
2019-01-11,107.40138244628906,109.83930071296118,106.0716088462861,109.75065049234333,13442566.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,-11968439.0,,107.67901699998542,-0.01863109306386268,-0.01880683818390876,,-2.0389938354492188,3.7676918666750794,107.77076400184545
