Price,Close,High,Low,Open,Volume,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Diff,ADX,RSI_14,Stoch_K,Stoch_D,ROC_12,Williams_R,BB_High,BB_Mid,BB_Low,BB_Width,BB_Percent,ATR_14,StdDev_20,OBV,Volume_SMA_20,VWAP,Returns,Log_Returns,Volatility_20,Price_Change,HL_Range,Avg_Price
Date,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,
2019-01-01,276.4459228515625,277.4609168309807,271.1403019436401,274.5082121925056,11837127.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,11837127.0,,275.0157138753944,,,,,6.320614887340582,275.0157138753944
2019-01-02,271.1864318847656,279.12180111863177,270.44826979006695,275.9845699775439,25559853.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,-13722726.0,,274.0382009154318,-0.01902538808510823,-0.019208699552995374,,-5.259490966796875,8.67353132856482,273.58550093115474
2019-01-03,268.6028137207031,272.7088857843625,267.68009710067946,272.2014029069801,17548347.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,-31271073.0,,272.64115426110874,-0.0095270922888957,-0.009572765351778192,,-2.5836181640625,5.028788683683047,269.66393220191503
2019-01-04,274.6466064453125,275.89227956009165,268.9719046547382,269.525540278982,19514041.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,-11757032.0,,272.77982130462806,0.022500854108303603,0.02225144424821524,,6.043792724609375,6.920374905353469,273.1702635533808
2019-01-07,273.4009094238281,278.1990468689458,272.3859437203889,277.7838131473024,14579399.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,-26336431.0,,273.0880078305391,-0.004535635949073358,-0.004545953154349407,,-1.245697021484375,5.813103148556877,274.66196667105424
2019-01-08,281.70538330078125,282.35129622243744,271.9707338613184,272.9395750847252,22949961.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,-3386470.0,,274.23312053113847,0.030374711973175872,0.029922534115294927,,8.304473876953125,10.380562361119019,278.67580446151237
2019-01-09,281.70538330078125,283.36629017400685,277.5070337872486,282.35129622243744,21109911.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,17723441.0,,275.284098514975,0.0,0.0,,0.0,5.859256386758261,280.85956908734556
2019-01-10,281.93603515625,283.73534372152864,280.0444774617364,281.52082959746826,16295468.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,34018909.0,,276.0063180317379,0.0008187697826933515,0.0008184347735659212,,0.23065185546875,3.6908662597922444,281.90528544650505
2019-01-11,279.3524475097656,282.5358310076112,277.69156891206615,281.7976408404637,12702551.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,21316358.0,,276.30830418205,-0.00916373689178307,-0.00920598221006802,,-2.583587646484375,4.844262095545048,279.8599491431476
2019-01-14,277.1840515136719,280.13675579616194,276.3997367987222,277.7376870865231,10372933.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,10943425.0,,276.4044462799141,-0.007762223010478353,-0.007792505873523563,,-2.16839599609375,3.7370189974397476,277.9068480361853
2019-01-15,278.3374328613281,280.1367413404776,277.8299500385288,278.66038927541564,9444374.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,20387799.0,,276.52715635566693,0.004161066776236844,0.004152433478744149,,1.15338134765625,2.306791301948806,278.76804141344485
2019-01-16,279.7215576171875,282.9510660168956,278.7527163609065,279.5831557461586,12111480.0,,,,277.9904665334075,,,,,0.0,,,,,,,,,,,0.0,,32499279.0,,276.77359620769585,0.0049728300704310335,0.00496050638980346,,1.384124755859375,4.198349655989091,280.4751133316632
2019-01-17,274.4158935546875,280.82878477576907,272.75501504516416,280.4135510688511,15974634.0,,,,277.44053222898907,,,,,0.0,44.24807801600722,,,-0.7343314294293366,,,,,,,5.944427900089715,,16524645.0,,276.71474123450724,-0.018967662370023897,-0.01914985601514309,,-5.3056640625,8.073769730604909,275.9998977918736
2019-01-18,272.1552429199219,276.67654813779654,271.5093301063372,275.66155435605174,9082501.0,,,,276.6274107968249,,,,,0.0,40.125307576695334,27.873416864435058,,0.35724908079764245,-72.12658313556494,,,,,,5.888912909473261,,7442144.0,,276.57927224283327,-0.008238045564642582,-0.008272165780478643,,-2.260650634765625,5.167218031459356,273.44704038801854
2019-01-21,269.8484802246094,273.816150330554,268.9257636270338,273.03183559079963,10188647.0,,,,275.58449840109944,,,,,0.0,36.39853572176142,13.505760298406592,,0.4637578015848751,-86.49423970159341,,,,,,5.817589609048043,,-2746503.0,,276.32526590345645,-0.008475907612741529,-0.00851203238935283,,-2.3067626953125,4.890386703520221,270.86346472739905
2019-01-22,267.8184814453125,270.35595198441536,265.92692376161114,270.35595198441536,11297989.0,,,,274.3897265617476,,,,,0.0,33.453855434435994,10.621704159935632,17.333627107592427,-2.4861494151975307,-89.37829584006437,,,,,,5.71840665288777,,-14044492.0,,275.93586840137374,-0.007522735638930356,-0.0075511741279371955,,-2.029998779296875,4.42902822280422,268.03378573044637
2019-01-23,264.4967346191406,270.3098666849386,263.43561605319394,268.00307495067244,10304608.0,,,,272.8677278013465,,,,,0.0,29.279635417712086,5.227255179397858,9.78490654591336,-3.2568197463031043,-94.77274482060214,,,,,,5.800966937091833,,-24349100.0,,275.53107031433524,-0.012402978346549132,-0.012480537257406764,,-3.321746826171875,6.874250631744644,266.08073911909105
2019-01-24,265.7884826660156,267.4955138620374,263.4355668006029,264.4966851681601,11532528.0,,,,271.7786131651418,,,,,0.0,32.79158891609242,11.590845921992711,9.1466017537754,-5.650193989289478,-88.40915407800729,,,,,,5.676608374544882,,-12816572.0,,275.09343014931534,0.004883795819767167,0.00487190877584911,,1.291748046875,4.059947061434514,265.5731877762186
2019-01-25,263.34332275390625,268.51054155656976,261.3133630465193,267.2187438956732,11121223.0,,,,270.48087617879787,,,,,0.0,29.77718124028172,9.053436165206575,8.62384575553238,-6.518178790807679,-90.94656383479342,,,,,,5.785220527080993,,-23937795.0,,274.65820707555696,-0.00919964585215649,-0.009242223930739365,,-2.445159912109375,7.197178510050435,264.3890757856651
2019-01-28,259.8370056152344,264.4505887115309,255.86930725697349,263.57399665960395,18905470.0,273.09643096923827,,,268.8433576305573,,,,,0.0,26.075486835428023,14.238474005112623,11.62758536410397,-7.83831322901603,-85.76152599488736,285.98408528440547,273.09643096923827,260.2087766540711,9.438171175967414,-0.014423533939732112,5.984939164757878,6.611227168259184,-42843265.0,14621652.25,273.7139515176419,-0.01331462329101285,-0.013404057631203618,,-3.506317138671875,8.581281454557399,260.0523005279129
2019-01-29,258.914306640625,263.8969710923716,255.17728718250623,259.2833876816658,17435611.0,272.21985015869143,,,267.31581132441386,,,,,0.0,25.188113949717973,13.08569248405407,12.125867551457757,-7.316256238788152,-86.91430751594592,286.39732415789416,272.21985015869143,258.0423761594887,10.416194109972457,0.030750558286523254,6.180278075122698,7.272890705216066,-60278876.0,14901576.45,272.9045720629174,-0.0035510683800585863,-0.0035573883896719985,0.012339057752236529,-0.922698974609375,8.719683909865353,259.3295216385009
2019-01-30,265.2348937988281,267.0341742453332,258.5913231187658,259.46791513873075,18908654.0,271.92227325439455,,,266.99567016663144,,,,,0.0,40.20060023011556,36.21259705527939,21.17892118148203,-4.3109109812020945,-63.78740294472061,286.4202349506554,271.92227325439455,257.4243115581337,10.66331310248897,0.2693682879128051,6.3418904359401775,7.437297424861713,-41370222.0,14569016.5,272.3706048763711,0.0244118883974076,0.024118680505693435,0.013199518271168635,6.320587158203125,8.442851126567405,263.62013038764235
2019-01-31,270.95574951171875,272.01686806997645,265.7424058618693,267.58783923591005,25546487.0,272.0399200439453,,,267.6049131427987,,,,,0.0,49.983800836471666,56.81064295678663,35.369644165373366,-2.652062740438883,-43.18935704321337,286.46623633008534,272.0399200439453,257.61360375780527,10.606028912087321,0.4624238609939476,6.373324995597903,7.400544104956593,-15823735.0,14968923.5,272.16880403894544,0.021569016168851762,0.021339696545699265,0.013955361887783983,5.720855712890625,6.274462208107138,269.57167448118815
2019-02-01,262.42059326171875,279.3063237990477,260.20607907164754,273.9545506673769,60015958.0,271.4286193847656,,,266.8073254687864,,,,,0.0,39.57994197038691,26.079656363663013,39.70096545857635,-6.1850665007185315,-73.92034363633698,286.3876024502595,271.4286193847656,256.46963631927173,11.022406627127761,0.1989091409620678,7.2823906907266345,7.673796397202578,-75839693.0,16994019.35,271.4651644846239,-0.03150018505007168,-0.03200698720384163,0.01468525201882836,-8.53515625,19.10024472740014,267.31099871080465
