Model,MAPE (%),R²,Dir. Acc (%),Type
ARIMA,0.5136278352283696,0.9857009229725758,36.61538461538461,Statistical
Linear Regression,0.6008690030035705,0.9840971073018026,40.92307692307692,Linear ML
