Stock,Ticker,Total_Samples,UP_Days,DOWN_Days,Neutral_Days,UP_Pct,DOWN_Pct,UP_DOWN_Ratio
HDFC Bank,HDFCBANK,1512,529,498,485,34.98677248677249,32.93650793650794,1.0622489959839359
ICICI Bank,ICICIBANK,1512,540,486,486,35.714285714285715,32.142857142857146,1.1111111111111112
Kotak Mahindra Bank,KOTAKBANK,1512,516,509,487,34.12698412698413,33.664021164021165,1.0137524557956779
Axis Bank,AXISBANK,1512,535,490,487,35.383597883597886,32.407407407407405,1.0918367346938775
State Bank of India,SBIN,1512,555,466,491,36.7063492063492,30.82010582010582,1.1909871244635193
Punjab National Bank,PNB,1512,507,491,514,33.53174603174603,32.47354497354497,1.0325865580448066
Bank of Baroda,BANKBARODA,1512,544,474,494,35.978835978835974,31.349206349206348,1.1476793248945147
Canara Bank,CANBK,1512,534,486,492,35.317460317460316,32.142857142857146,1.0987654320987654
